,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
75,601127,主力动向：5月23日特大单净流出218.83亿元,赛力斯85.51-1.76-1.53汽车300418昆仑万维35.62-2.92-1.49传媒002130沃尔核材14.37,2024-05-23 17:10:00,证券时报网,http://stock.eastmoney.com/a/202405233085453151.html
76,601127,22股特大单净流入资金超1亿元,赛力斯84.11-1.64-1.49汽车300418昆仑万维34.60-2.86-1.48传媒002130沃尔核材13.75,2024-05-24 16:54:10,证券时报网,http://stock.eastmoney.com/a/202405243086592350.html
77,601127,主力动向：5月22日特大单净流入18.43亿元,赛力斯87.04-1.03-1.76汽车600711盛屯矿业4.34-4.82-1.50有色金属601899紫金矿业18.43,2024-05-22 17:21:19,证券时报网,http://stock.eastmoney.com/a/202405223084305518.html
78,601127,一季度长安汽车净利润跌8成 比亚迪毛利率超预期 赛力斯四年来首度盈利,红星资本局4月30日消息，4月29日晚间，长安汽车（000625.SZ）、比亚迪（002594.SZ）、赛力斯（601127,2024-04-30 18:12:21,红星资本局,http://finance.eastmoney.com/a/202404303065697576.html
79,601127,解密主力资金出逃股 连续5日净流出555股,日或以上主力资金净流出个股排名 证券代码证券简称主力资金净流出天数主力资金净流出金额（亿元）主力资金净流出比例（%）累计涨跌幅（%）601127,2024-05-09 16:58:26,证券时报网,http://finance.eastmoney.com/a/202405093071540110.html
80,601127,上市公司重要公告集锦：沪硅产业拟约132亿元投建硅片产能升级项目,赛力斯：赛力斯汽车拟12.54亿元收购赛力斯电动剩余55%股权 赛力斯（601127）公告，2024年6月11日，公司召开第五届董事会第十二次会议,2024-06-12 08:35:01,证券日报之声,http://finance.eastmoney.com/a/202406123101315183.html
81,601127,营收大涨 净利润转正 赛力斯拟引入重庆国资,4月29日晚间，赛力斯601127发布2023年年报及2024年一季报。 ,2024-04-29 22:16:23,证券时报·e公司,http://finance.eastmoney.com/a/202404293064159671.html
82,601127,6月12日上市公司重要公告集锦：沪硅产业拟约132亿元投建硅片产能升级项目,赛力斯：赛力斯汽车拟12.54亿元收购赛力斯电动剩余55%股权 赛力斯（601127）公告，2024年6月11日，公司召开第五届董事会第十二次会议,2024-06-11 20:58:03,证券日报,http://stock.eastmoney.com/a/202406113101007697.html
83,601127,投入新能源造车亏损4年后 赛力斯一季度实现扭亏为盈 开盘大涨5%,4月30日，赛力斯（601127.SH）开盘大涨5%，报100.17元，总市值站上1500亿元。 ,2024-04-30 11:13:41,21世纪经济报道,http://finance.eastmoney.com/a/202404303065316716.html
84,601127,解密主力资金出逃股 连续5日净流出528股,日或以上主力资金净流出个股排名 证券代码证券简称主力资金净流出天数主力资金净流出金额（亿元）主力资金净流出比例（%）累计涨跌幅（%）601127,2024-05-10 16:46:25,证券时报网,http://finance.eastmoney.com/a/202405103072915080.html
85,601127,10股特大单净流入资金超2亿元,45.204.9911.01非银金融001696宗申动力12.9310.048.65机械设备000002万科A9.0010.026.55房地产601127,2024-05-17 16:56:32,证券时报网,http://stock.eastmoney.com/a/202405173080151893.html
86,601127,解密主力资金出逃股 连续5日净流出534股,日或以上主力资金净流出个股排名 证券代码证券简称主力资金净流出天数主力资金净流出金额（亿元）主力资金净流出比例（%）累计涨跌幅（%）601127,2024-05-08 16:55:07,证券时报网,http://stock.eastmoney.com/a/202405083070200587.html
87,601127,赛力斯：有人发布不实信息，已报案,赛力斯一季度扭亏为盈 问界车型销量贡献度超九成 日前，赛力斯（601127.SH）对外发布2023年年度报告和2024,2024-05-06 20:56:24,每日经济新闻,http://finance.eastmoney.com/a/202405063067627224.html
88,601127,主力动向：5月16日特大单净流入12.53亿元,赛力斯85.000.05-1.09汽车600866星湖科技7.702.39-1.08基础化工001979招商蛇口10.432.76,2024-05-16 17:05:20,证券时报网,http://stock.eastmoney.com/a/202405163078725097.html
89,601127,15股特大单净流入资金超1亿元,赛力斯84.96-2.65-1.71汽车601600中国铝业7.61-3.18-1.69有色金属601881中国银河12.00,2024-05-15 17:09:42,证券时报网,http://stock.eastmoney.com/a/202405153077573655.html
90,601127,15股获融资客大手笔净买入,9.9912719.13151472.374.44汽车600519贵州茅台-1.4412615.612095075.761.01食品饮料601127,2024-04-22 09:31:54,证券时报网,http://finance.eastmoney.com/a/202404223053608772.html
91,601127,主力动向：5月14日特大单净流出32.90亿元,赛力斯87.272.211.06汽车600298安琪酵母33.352.490.89食品饮料600686金龙汽车9.5210.060.88,2024-05-14 16:59:08,证券时报网,http://stock.eastmoney.com/a/202405143076197987.html
92,601127,40.89亿元主力资金今日撤离汽车板块,亚通精工4.3215.49962.47汽车行业资金流出榜代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）601127,2024-05-07 16:53:07,证券时报网,http://finance.eastmoney.com/a/202405073068826491.html
93,601127,北向资金昨日净买入81.08亿元 大幅加仓酿酒行业超18亿元（名单）,北向资金净卖出万华化学(600309.SH)、美的集团(000333.SZ)、赛力斯601127.SH)、兆易创新(603986,2024-04-16 08:34:40,21世纪经济报道,http://finance.eastmoney.com/a/202404163045430129.html
94,601127,公告精选：比亚迪、赛力斯5月新能源汽车销量同比大增,赛力斯：5月新能源汽车销量同比增长298.62% 赛力斯6011276月2日晚间发布5月份产销快报，5月实现新能源汽车销量,2024-06-02 19:37:42,证券时报·e公司,http://stock.eastmoney.com/a/202406023093149631.html
95,601127,上市公司重要公告集锦：比亚迪4月新能源汽车销量约31万辆 上年同期约21万辆,沪市重要公告： 赛力斯：4月赛力斯汽车销量同比增长742.47% 赛力斯（601127）公告，4月新能源汽车销量27868,2024-05-06 08:35:16,证券日报之声,http://finance.eastmoney.com/a/202405063066635112.html
96,601127,赛力斯发布产销快报 3月问界全系交付新车31727辆,证券时报网讯，4月1日晚间，赛力斯601127发布3月产销快报显示，今年一季度汽车销量为114138辆，同比增长172.16%,2024-04-01 19:56:05,证券时报网,http://finance.eastmoney.com/a/202404013031562192.html
97,601127,主力动向：5月10日特大单净流出85.60亿元,赛力斯84.62-0.66-2.05汽车300073当升科技43.90-5.96-1.84电力设备601138工业富联23.92,2024-05-10 17:30:39,证券时报网,http://stock.eastmoney.com/a/202405103072973396.html
98,601127,11股受融资客青睐 净买入超5000万元,6.537556.1167714.331.76电力设备300760迈瑞医疗-3.507513.66243559.800.75医药生物601127,2024-04-17 09:25:25,证券时报网,http://stock.eastmoney.com/a/202404173047902884.html
99,601127,26股特大单净流入资金超1亿元,特大单净流入（亿元）行业601360三六零8.88-5.73-6.21计算机300418昆仑万维38.35-5.52-4.04传媒601127,2024-05-08 16:55:07,证券时报网,http://stock.eastmoney.com/a/202405083070200738.html
